State,StateAbb,OpiodDispenseRatePer100,Year
Iowa,IA,74.1,2012
Kansas,KS,90.3,2012
Kentucky,KY,127.9,2012
Louisiana,LA,113.0,2012
Maine,ME,89.7,2012
Maryland,MD,72.2,2012
Massachusetts,MA,65.7,2012
Michigan,MI,100.7,2012
Minnesota,MN,60.9,2012
Mississippi,MS,121.8,2012
Missouri,MO,95.4,2012
Montana,MT,87.7,2012
Nebraska,NE,73.2,2012
Nevada,NV,98.9,2012
New Hampshire,NH,83.7,2012
New Jersey,NJ,60.1,2012
New Mexico,NM,76.8,2012
New York,NY,51.8,2012
North Carolina,NC,98.6,2012
North Dakota,ND,62.1,2012
Ohio,OH,97.5,2012
Oklahoma,OK,127.4,2012
Oregon,OR,98.7,2012
Pennsylvania,PA,83.3,2012
Rhode Island,RI,83.2,2012
South Carolina,SC,104.0,2012
South Dakota,SD,60.1,2012
Tennessee,TN,136.1,2012
Texas,TX,73.4,2012
Utah,UT,84.5,2012
Vermont,VT,54.6,2012
Virginia,VA,79.6,2012
Washington,WA,78.7,2012
West Virginia,WV,136.9,2012
Wisconsin,WI,76.8,2012
Wyoming,WY,80.5,2012
Alabama,AL,136.6,2011
Alaska,AK,68.0,2011
Arizona,AZ,88.6,2011
Arkansas,AR,115.2,2011
California,CA,55.9,2011
Colorado,CO,73.0,2011
Connecticut,CT,69.1,2011
Delaware,DE,99.7,2011
District of Columbia,DC,39.8,2011
Florida,FL,83.5,2011
Georgia,GA,88.6,2011
Hawaii,HI,50.1,2011
Idaho,ID,91.4,2011
Illinois,IL,64.3,2011
Indiana,IN,106.7,2011
Iowa,IA,64.0,2011
Kansas,KS,87.8,2011
Kentucky,KY,137.0,2011
Louisiana,LA,111.7,2011
Maine,ME,93.1,2011
Maryland,MD,72.9,2011
Massachusetts,MA,65.9,2011
Michigan,MI,98.8,2011
Minnesota,MN,60.0,2011
Mississippi,MS,117.2,2011
Missouri,MO,91.6,2011
Montana,MT,85.3,2011
Nebraska,NE,68.8,2011
Nevada,NV,100.3,2011
New Hampshire,NH,80.9,2011
New Jersey,NJ,61.5,2011
New Mexico,NM,81.6,2011
New York,NY,51.1,2011
North Carolina,NC,93.5,2011
North Dakota,ND,61.3,2011
Ohio,OH,101.5,2011
Oklahoma,OK,122.3,2011
Oregon,OR,100.7,2011
Pennsylvania,PA,81.7,2011
Rhode Island,RI,82.5,2011
South Carolina,SC,96.8,2011
South Dakota,SD,55.1,2011
Tennessee,TN,138.5,2011
Texas,TX,72.0,2011
Utah,UT,85.2,2011
Vermont,VT,53.6,2011
Virginia,VA,76.6,2011
Washington,WA,81.6,2011
West Virginia,WV,139.6,2011
Wisconsin,WI,75.2,2011
Wyoming,WY,78.2,2011
Alabama,AL,134.3,2010
Alaska,AK,68.4,2010
Arizona,AZ,88.5,2010
Arkansas,AR,120.8,2010
California,CA,55.8,2010
Colorado,CO,72.0,2010
Connecticut,CT,68.6,2010
Delaware,DE,101.1,2010
District of Columbia,DC,37.1,2010
Florida,FL,87.6,2010
Georgia,GA,90.2,2010
Hawaii,HI,50.1,2010
Idaho,ID,88.6,2010
Illinois,IL,63.1,2010
Indiana,IN,107.1,2010
Iowa,IA,62.3,2010
Kansas,KS,86.1,2010
Kentucky,KY,136.5,2010
Louisiana,LA,112.6,2010
Maine,ME,92.8,2010
Maryland,MD,71.2,2010
Massachusetts,MA,67.9,2010
Michigan,MI,96.0,2010
Minnesota,MN,59.0,2010
Mississippi,MS,118.1,2010
Missouri,MO,91.0,2010
Montana,MT,87.2,2010
Nebraska,NE,69.0,2010
Nevada,NV,97.3,2010
New Hampshire,NH,81.6,2010
New Jersey,NJ,61.0,2010
New Mexico,NM,81.9,2010
New York,NY,51.0,2010
North Carolina,NC,93.1,2010
North Dakota,ND,63.0,2010
Ohio,OH,102.4,2010
Oklahoma,OK,119.6,2010
Oregon,OR,101.2,2010
Pennsylvania,PA,81.0,2010
Rhode Island,RI,82.7,2010
South Carolina,SC,98.6,2010
South Dakota,SD,54.0,2010
Tennessee,TN,140.0,2010
Texas,TX,73.0,2010
Utah,UT,86.6,2010
Vermont,VT,54.1,2010
Virginia,VA,75.5,2010
Washington,WA,85.0,2010
West Virginia,WV,143.1,2010
Wisconsin,WI,74.4,2010
Wyoming,WY,80.4,2010
Alabama,AL,131.6,2009
Alaska,AK,67.3,2009
Arizona,AZ,84.2,2009
Arkansas,AR,116.0,2009
California,CA,55.6,2009
Colorado,CO,69.8,2009
Connecticut,CT,68.1,2009
Delaware,DE,97.5,2009
District of Columbia,DC,34.4,2009
Florida,FL,86.3,2009
Georgia,GA,88.2,2009
Hawaii,HI,47.8,2009
Idaho,ID,85.2,2009
Illinois,IL,61.0,2009
Indiana,IN,105.6,2009
Iowa,IA,60.4,2009
Kansas,KS,82.8,2009
Kentucky,KY,135.2,2009
Louisiana,LA,113.0,2009
Maine,ME,87.9,2009
Maryland,MD,66.9,2009
Massachusetts,MA,68.9,2009
Michigan,MI,91.6,2009
Minnesota,MN,58.6,2009
Mississippi,MS,117.3,2009
Missouri,MO,88.5,2009
Montana,MT,85.8,2009
Nebraska,NE,66.4,2009
Nevada,NV,94.0,2009
New Hampshire,NH,81.5,2009
New Jersey,NJ,59.9,2009
New Mexico,NM,75.3,2009
New York,NY,49.5,2009
North Carolina,NC,89.3,2009
North Dakota,ND,60.3,2009
Ohio,OH,100.4,2009
Oklahoma,OK,115.0,2009
Oregon,OR,99.3,2009
Pennsylvania,PA,78.1,2009
Rhode Island,RI,82.5,2009
South Carolina,SC,95.8,2009
South Dakota,SD,52.3,2009
Tennessee,TN,138.4,2009
Texas,TX,71.8,2009
Utah,UT,86.9,2009
Vermont,VT,54.5,2009
Virginia,VA,74.1,2009
Washington,WA,86.1,2009
West Virginia,WV,146.9,2009
Wisconsin,WI,71.9,2009
Wyoming,WY,81.0,2009
Alabama,AL,126.1,2008
Alaska,AK,68.5,2008
Arizona,AZ,80.9,2008
Arkansas,AR,112.1,2008
California,CA,55.1,2008
Colorado,CO,67.7,2008
Connecticut,CT,68.7,2008
Delaware,DE,95.4,2008
District of Columbia,DC,34.5,2008
Florida,FL,84.3,2008
Georgia,GA,86.3,2008
Hawaii,HI,46.6,2008
Idaho,ID,82.7,2008
Illinois,IL,60.2,2008
Indiana,IN,103.3,2008
Iowa,IA,59.1,2008
Kansas,KS,82.7,2008
Kentucky,KY,136.6,2008
Louisiana,LA,113.7,2008
Maine,ME,88.7,2008
Maryland,MD,65.5,2008
Massachusetts,MA,69.2,2008
Michigan,MI,89.9,2008
Minnesota,MN,56.5,2008
Mississippi,MS,113.2,2008
Missouri,MO,86.8,2008
Montana,MT,85.3,2008
Nebraska,NE,66.2,2008
Nevada,NV,97.0,2008
New Hampshire,NH,81.7,2008
New Jersey,NJ,59.5,2008
New Mexico,NM,71.4,2008
New York,NY,48.4,2008
North Carolina,NC,88.6,2008
North Dakota,ND,61.7,2008
Ohio,OH,97.5,2008
Oklahoma,OK,111.3,2008
Oregon,OR,99.1,2008
Pennsylvania,PA,76.5,2008
Rhode Island,RI,82.9,2008
South Carolina,SC,94.1,2008
South Dakota,SD,52.1,2008
Tennessee,TN,132.9,2008
Texas,TX,71.3,2008
Utah,UT,91.3,2008
Vermont,VT,56.5,2008
Virginia,VA,73.0,2008
Washington,WA,86.6,2008
West Virginia,WV,145.5,2008
Wisconsin,WI,70.6,2008
Wyoming,WY,81.0,2008
Alabama,AL,120.3,2007
Alaska,AK,66.6,2007
Arizona,AZ,77.8,2007
Arkansas,AR,108.2,2007
California,CA,53.6,2007
Colorado,CO,65.9,2007
Connecticut,CT,67.5,2007
Delaware,DE,92.3,2007
District of Columbia,DC,41.2,2007
Florida,FL,82.2,2007
Georgia,GA,82.5,2007
Hawaii,HI,44.5,2007
Idaho,ID,78.8,2007
Illinois,IL,59.2,2007
Indiana,IN,99.7,2007
Iowa,IA,57.1,2007
Kansas,KS,80.6,2007
Kentucky,KY,130.8,2007
Louisiana,LA,110.1,2007
Maine,ME,85.4,2007
Maryland,MD,63.3,2007
Massachusetts,MA,68.2,2007
Michigan,MI,85.6,2007
Minnesota,MN,53.7,2007
Mississippi,MS,109.9,2007
Missouri,MO,84.3,2007
Montana,MT,81.1,2007
Nebraska,NE,65.1,2007
Nevada,NV,90.2,2007
New Hampshire,NH,78.5,2007
New Jersey,NJ,57.2,2007
New Mexico,NM,69.0,2007
New York,NY,46.1,2007
North Carolina,NC,87.5,2007
North Dakota,ND,59.3,2007
Ohio,OH,92.7,2007
Oklahoma,OK,114.4,2007
Oregon,OR,95.5,2007
Pennsylvania,PA,73.7,2007
Rhode Island,RI,82.2,2007
South Carolina,SC,91.7,2007
South Dakota,SD,49.9,2007
Tennessee,TN,128.8,2007
Texas,TX,71.2,2007
Utah,UT,89.8,2007
Vermont,VT,56.0,2007
Virginia,VA,70.1,2007
Washington,WA,84.4,2007
West Virginia,WV,135.1,2007
Wisconsin,WI,69.2,2007
Wyoming,WY,80.8,2007
Alabama,AL,115.6,2006
Alaska,AK,63.4,2006
Arizona,AZ,74.3,2006
Arkansas,AR,98.3,2006
California,CA,51.0,2006
Colorado,CO,62.2,2006
Connecticut,CT,64.7,2006
Delaware,DE,86.6,2006
District of Columbia,DC,31.7,2006
Florida,FL,79.7,2006
Georgia,GA,79.8,2006
Hawaii,HI,42.3,2006
Idaho,ID,75.6,2006
Illinois,IL,55.6,2006
Indiana,IN,94.3,2006
Iowa,IA,59.3,2006
Kansas,KS,77.5,2006
Kentucky,KY,122.6,2006
Louisiana,LA,109.2,2006
Maine,ME,83.6,2006
Maryland,MD,60.1,2006
Massachusetts,MA,66.0,2006
Michigan,MI,80.2,2006
Minnesota,MN,50.3,2006
Mississippi,MS,102.7,2006
Missouri,MO,80.5,2006
Montana,MT,79.1,2006
Nebraska,NE,64.3,2006
Nevada,NV,87.7,2006
New Hampshire,NH,75.0,2006
New Jersey,NJ,54.7,2006
New Mexico,NM,61.8,2006
New York,NY,44.2,2006
North Carolina,NC,85.2,2006
North Dakota,ND,56.0,2006
Ohio,OH,87.7,2006
Oklahoma,OK,108.7,2006
Oregon,OR,91.0,2006
Pennsylvania,PA,69.5,2006
Rhode Island,RI,78.7,2006
South Carolina,SC,90.4,2006
South Dakota,SD,50.0,2006
Tennessee,TN,124.8,2006
Texas,TX,66.8,2006
Utah,UT,87.0,2006
Vermont,VT,56.9,2006
Virginia,VA,67.2,2006
Washington,WA,80.8,2006
West Virginia,WV,129.9,2006
Wisconsin,WI,64.7,2006
Wyoming,WY,79.9,2006

,,,,
,,,,
