Year,113 Cause Name,Cause Name,State,Deaths,Population,Crude Rate,Age Adjusted Rate
1999,"Infections of kidney (N10-N12,N13.6,N15.1)",Infections of kidney,Arizona,38,5023823,0.8,0.8
1999,Certain conditions originating in the perinatal period (P00-P96),Conditions originated in perinatal period,Arizona,255,5023823,5.1,4.5
1999,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Congenital malformations,Arizona,212,5023823,4.2,4
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arizona,2214,5023823,44.1,44.8
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Arizona,766,5023823,15.2,15.5
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Assault (homicide),Arizona,470,5023823,9.4,9.2
1999,"Legal intervention (Y35,Y89.0)",Legal intervention,Arizona,23,5023823,0.5,0.5
1999,"Complications of medical and surgical care (Y40-Y84,Y88)",Complications of medical and surgical care,Arizona,45,5023823,0.9,0.9
1999,Tuberculosis (A16-A19),Tuberculosis,Arkansas,12,2651860,,
1999,Septicemia (A40-A41),Septicemia,Arkansas,475,2651860,17.9,16.5
1999,Viral hepatitis (B15-B19),Viral hepatitis,Arkansas,51,2651860,1.9,1.9
1999,Human immunodeficiency virus (HIV) disease (B20-B24),Human immunodeficiency virus,Arkansas,67,2651860,2.5,2.6
1999,Malignant neoplasms (C00-C97),Cancer,Arkansas,6137,2651860,231.4,214.1
1999,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",In situ neoplasms,Arkansas,133,2651860,5,4.6
1999,Anemias (D50-D64),Anemias,Arkansas,61,2651860,2.3,2.1
1999,Diabetes mellitus (E10-E14),Diabetes,Arkansas,691,2651860,26.1,24.2
1999,Nutritional deficiencies (E40-E64),Nutritional deficiencies,Arkansas,74,2651860,2.8,2.6
1999,Parkinson disease (G20-G21),Parkinson disease,Arkansas,133,2651860,5,4.6
1999,Alzheimer disease (G30),Alzheimer's disease,Arkansas,434,2651860,16.4,14.8
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arkansas,8315,2651860,313.6,287.8
1999,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",Essential hypertension,Arkansas,150,2651860,5.7,5.3
1999,Cerebrovascular diseases (I60-I69),Stroke,Arkansas,2255,2651860,85,77.7
1999,Atherosclerosis (I70),Atherosclerosis,Arkansas,156,2651860,5.9,5.3
1999,Aortic aneurysm and dissection (I71),Aortic aneurysm and dissection,Arkansas,184,2651860,6.9,6.4
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Arkansas,741,2651860,27.9,25.5
1999,Chronic lower respiratory diseases (J40-J47),CLRD,Arkansas,1358,2651860,51.2,46.8
1999,Pneumonitis due to solids and liquids (J69),Pneumonitis due to solids and liquids,Arkansas,157,2651860,5.9,5.4
1999,Peptic ulcer (K25-K28),Peptic ulcer,Arkansas,46,2651860,1.7,1.6
1999,Hernia (K40-K46),Hernia,Arkansas,17,2651860,,
1999,"Chronic liver disease and cirrhosis (K70,K73-K74)",Chronic liver disease and cirrhosis,Arkansas,218,2651860,8.2,8
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Cholelithiasis and other disorders of gallbladder,Arkansas,21,2651860,0.8,0.7
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Arkansas,458,2651860,17.3,15.8
1999,"Infections of kidney (N10-N12,N13.6,N15.1)",Infections of kidney,Arkansas,11,2651860,,
1999,Certain conditions originating in the perinatal period (P00-P96),Conditions originated in perinatal period,Arkansas,120,2651860,4.5,4.6
1999,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Congenital malformations,Arkansas,97,2651860,3.7,3.7
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arkansas,1287,2651860,48.5,47.6
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Arkansas,336,2651860,12.7,12.6
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Assault (homicide),Arkansas,179,2651860,6.7,6.8
1999,"Complications of medical and surgical care (Y40-Y84,Y88)",Complications of medical and surgical care,Arkansas,42,2651860,1.6,1.5
1999,Tuberculosis (A16-A19),Tuberculosis,California,157,33499204,0.5,0.5
1999,Meningococcal infection (A39),Meningococcal infection,California,32,33499204,0.1,0.1
1999,Septicemia (A40-A41),Septicemia,California,756,33499204,2.3,2.7
1999,Viral hepatitis (B15-B19),Viral hepatitis,California,863,33499204,2.6,2.9
1999,Human immunodeficiency virus (HIV) disease (B20-B24),Human immunodeficiency virus,California,1593,33499204,4.8,4.8
1999,Malignant neoplasms (C00-C97),Cancer,California,53067,33499204,158.4,184.9
1999,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",In situ neoplasms,California,1130,33499204,3.4,4
1999,Anemias (D50-D64),Anemias,California,300,33499204,0.9,1
1999,Diabetes mellitus (E10-E14),Diabetes,California,6401,33499204,19.1,22.5
1999,Nutritional deficiencies (E40-E64),Nutritional deficiencies,California,183,33499204,0.5,0.7
1999,"Meningitis (G00,G03)",Meningitis,California,96,33499204,0.3,0.3
1999,Parkinson disease (G20-G21),Parkinson disease,California,1577,33499204,4.7,5.7
1999,Alzheimer disease (G30),Alzheimer's disease,California,4532,33499204,13.5,16.6
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,California,71930,33499204,214.7,257.3
1999,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",Essential hypertension,California,2029,33499204,6.1,7.3
1999,Cerebrovascular diseases (I60-I69),Stroke,California,17962,33499204,53.6,64.5
1999,Atherosclerosis (I70),Atherosclerosis,California,1825,33499204,5.4,6.7
1999,Aortic aneurysm and dissection (I71),Aortic aneurysm and dissection,California,1438,33499204,4.3,5.1
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,California,4560,33499204,13.6,16.5
1999,Acute bronchitis and bronchiolitis (J20-J21),Acute bronchitis and bronchiolitis,California,44,33499204,0.1,0.1
1999,Chronic lower respiratory diseases (J40-J47),CLRD,California,13165,33499204,39.3,46.9
1999,"Pneumoconioses and chemical effects (J60-J66,J68,U07.0)",Pneumoconioses and chemical effects,California,50,33499204,0.1,0.2
1999,Pneumonitis due to solids and liquids (J69),Pneumonitis due to solids and liquids,California,355,33499204,1.1,1.3
1999,Peptic ulcer (K25-K28),Peptic ulcer,California,749,33499204,2.2,2.7
1999,Diseases of appendix (K35-K38),Diseases of appendix,California,53,33499204,0.2,0.2
1999,Hernia (K40-K46),Hernia,California,154,33499204,0.5,0.5
1999,"Chronic liver disease and cirrhosis (K70,K73-K74)",Chronic liver disease and cirrhosis,California,3572,33499204,10.7,11.9
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Cholelithiasis and other disorders of gallbladder,California,326,33499204,1,1.2
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,California,2261,33499204,6.7,8
1999,"Infections of kidney (N10-N12,N13.6,N15.1)",Infections of kidney,California,124,33499204,0.4,0.4
1999,Hyperplasia of prostate (N40),Hyperplasia of prostate,California,75,33499204,0.2,0.3
1999,Inflammatory diseases of female pelvic organs (N70-N76),Inflammatory diseases of female pelvic organs,California,15,33499204,,
1999,"Pregnancy, childbirth and the puerperium (O00-O99)","Pregnancy, childbirth and the puerperium",California,43,33499204,0.1,0.1
1999,Certain conditions originating in the perinatal period (P00-P96),Conditions originated in perinatal period,California,1379,33499204,4.1,3.9
1999,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Congenital malformations,California,1258,33499204,3.8,3.7
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,California,9198,33499204,27.5,28.7
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,California,3077,33499204,9.2,9.6
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Assault (homicide),California,2066,33499204,6.2,6
1999,"Legal intervention (Y35,Y89.0)",Legal intervention,California,70,33499204,0.2,0.2
1999,"Complications of medical and surgical care (Y40-Y84,Y88)",Complications of medical and surgical care,California,138,33499204,0.4,0.5
1999,Enterocolitis due to Clostridium difficile (A04.7),Enterocolitis due to Clostridium difficile,California,74,33499204,0.2,0.3
1999,Septicemia (A40-A41),Septicemia,Colorado,264,4226018,6.2,7.8
1999,Viral hepatitis (B15-B19),Viral hepatitis,Colorado,61,4226018,1.4,1.6
1999,Human immunodeficiency virus (HIV) disease (B20-B24),Human immunodeficiency virus,Colorado,104,4226018,2.5,2.3
1999,Malignant neoplasms (C00-C97),Cancer,Colorado,5863,4226018,138.7,171.1
1999,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",In situ neoplasms,Colorado,144,4226018,3.4,4.4
1999,Anemias (D50-D64),Anemias,Colorado,49,4226018,1.2,1.5
1999,Diabetes mellitus (E10-E14),Diabetes,Colorado,639,4226018,15.1,19.2
1999,Nutritional deficiencies (E40-E64),Nutritional deficiencies,Colorado,78,4226018,1.8,2.5
1999,"Meningitis (G00,G03)",Meningitis,Colorado,15,4226018,,
1999,Parkinson disease (G20-G21),Parkinson disease,Colorado,186,4226018,4.4,5.9
1999,Alzheimer disease (G30),Alzheimer's disease,Colorado,756,4226018,17.9,24.5
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Colorado,6420,4226018,151.9,196.3
1999,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",Essential hypertension,Colorado,154,4226018,3.6,4.8
1999,Cerebrovascular diseases (I60-I69),Stroke,Colorado,1834,4226018,43.4,57.2
1999,Atherosclerosis (I70),Atherosclerosis,Colorado,484,4226018,11.5,15.6
1999,Aortic aneurysm and dissection (I71),Aortic aneurysm and dissection,Colorado,208,4226018,4.9,6.3
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Colorado,807,4226018,19.1,25.3
1999,Chronic lower respiratory diseases (J40-J47),CLRD,Colorado,1894,4226018,44.8,58.1
1999,Pneumonitis due to solids and liquids (J69),Pneumonitis due to solids and liquids,Colorado,211,4226018,5,6.7
1999,Peptic ulcer (K25-K28),Peptic ulcer,Colorado,70,4226018,1.7,2.1
1999,Hernia (K40-K46),Hernia,Colorado,11,4226018,,
1999,"Chronic liver disease and cirrhosis (K70,K73-K74)",Chronic liver disease and cirrhosis,Colorado,391,4226018,9.3,9.9
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Cholelithiasis and other disorders of gallbladder,Colorado,40,4226018,0.9,1.2
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Colorado,312,4226018,7.4,9.6
1999,Certain conditions originating in the perinatal period (P00-P96),Conditions originated in perinatal period,Colorado,197,4226018,4.7,4.5
1999,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Congenital malformations,Colorado,171,4226018,4,4.1
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Colorado,1519,4226018,35.9,39
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Colorado,574,4226018,13.6,13.7
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Assault (homicide),Colorado,199,4226018,4.7,4.5
1999,"Complications of medical and surgical care (Y40-Y84,Y88)",Complications of medical and surgical care,Colorado,46,4226018,1.1,1.3
1999,Septicemia (A40-A41),Septicemia,Connecticut,490,3386401,14.5,12.9
1999,Viral hepatitis (B15-B19),Viral hepatitis,Connecticut,30,3386401,0.9,0.8
1999,Human immunodeficiency virus (HIV) disease (B20-B24),Human immunodeficiency virus,Connecticut,203,3386401,6,5.8
1999,Malignant neoplasms (C00-C97),Cancer,Connecticut,7054,3386401,208.3,191
1999,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",In situ neoplasms,Connecticut,188,3386401,5.6,5
1999,Anemias (D50-D64),Anemias,Connecticut,54,3386401,1.6,1.4
1999,Diabetes mellitus (E10-E14),Diabetes,Connecticut,691,3386401,20.4,18.5
1999,Nutritional deficiencies (E40-E64),Nutritional deficiencies,Connecticut,39,3386401,1.2,1
1999,"Meningitis (G00,G03)",Meningitis,Connecticut,13,3386401,,
1999,Parkinson disease (G20-G21),Parkinson disease,Connecticut,181,3386401,5.3,4.7
1999,Alzheimer disease (G30),Alzheimer's disease,Connecticut,449,3386401,13.3,11.4
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Connecticut,9127,3386401,269.5,238.8
1999,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",Essential hypertension,Connecticut,239,3386401,7.1,6.2
1999,Cerebrovascular diseases (I60-I69),Stroke,Connecticut,1933,3386401,57.1,49.9
1999,Atherosclerosis (I70),Atherosclerosis,Connecticut,170,3386401,5,4.3
1999,Aortic aneurysm and dissection (I71),Aortic aneurysm and dissection,Connecticut,192,3386401,5.7,5.1
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Connecticut,885,3386401,26.1,22.7
1999,Chronic lower respiratory diseases (J40-J47),CLRD,Connecticut,1435,3386401,42.4,37.8
1999,Pneumonitis due to solids and liquids (J69),Pneumonitis due to solids and liquids,Connecticut,342,3386401,10.1,8.7
1999,Peptic ulcer (K25-K28),Peptic ulcer,Connecticut,51,3386401,1.5,1.3
1999,Hernia (K40-K46),Hernia,Connecticut,23,3386401,0.7,0.6
1999,"Chronic liver disease and cirrhosis (K70,K73-K74)",Chronic liver disease and cirrhosis,Connecticut,301,3386401,8.9,8.4
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Cholelithiasis and other disorders of gallbladder,Connecticut,30,3386401,0.9,0.8
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Connecticut,457,3386401,13.5,12.1
1999,Certain conditions originating in the perinatal period (P00-P96),Conditions originated in perinatal period,Connecticut,160,3386401,4.7,5.2
1999,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Congenital malformations,Connecticut,110,3386401,3.2,3.4
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Connecticut,1034,3386401,30.5,29.3
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Connecticut,274,3386401,8.1,7.9
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Assault (homicide),Connecticut,120,3386401,3.5,3.6
1999,"Complications of medical and surgical care (Y40-Y84,Y88)",Complications of medical and surgical care,Connecticut,51,3386401,1.5,1.4
1999,Enterocolitis due to Clostridium difficile (A04.7),Enterocolitis due to Clostridium difficile,Connecticut,20,3386401,0.6,0.5
1999,Septicemia (A40-A41),Septicemia,Delaware,103,774990,13.3,13.9
1999,Human immunodeficiency virus (HIV) disease (B20-B24),Human immunodeficiency virus,Delaware,65,774990,8.4,8.4
1999,Malignant neoplasms (C00-C97),Cancer,Delaware,1737,774990,224.1,223.3
1999,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",In situ neoplasms,Delaware,43,774990,5.5,5.7
1999,Diabetes mellitus (E10-E14),Diabetes,Delaware,179,774990,23.1,23.5
1999,Parkinson disease (G20-G21),Parkinson disease,Delaware,40,774990,5.2,5.3
1999,Alzheimer disease (G30),Alzheimer's disease,Delaware,107,774990,13.8,15
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Delaware,2011,774990,259.5,269.2
1999,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",Essential hypertension,Delaware,29,774990,3.7,3.9
1999,Cerebrovascular diseases (I60-I69),Stroke,Delaware,365,774990,47.1,49.4
1999,Atherosclerosis (I70),Atherosclerosis,Delaware,15,774990,,
1999,Aortic aneurysm and dissection (I71),Aortic aneurysm and dissection,Delaware,53,774990,6.8,6.9
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Delaware,155,774990,20,21.3
1999,Chronic lower respiratory diseases (J40-J47),CLRD,Delaware,327,774990,42.2,42.7
1999,Pneumonitis due to solids and liquids (J69),Pneumonitis due to solids and liquids,Delaware,71,774990,9.2,9.9
1999,Peptic ulcer (K25-K28),Peptic ulcer,Delaware,12,774990,,
1999,"Chronic liver disease and cirrhosis (K70,K73-K74)",Chronic liver disease and cirrhosis,Delaware,68,774990,8.8,8.7
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Cholelithiasis and other disorders of gallbladder,Delaware,10,774990,,
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Delaware,100,774990,12.9,13.4
1999,Certain conditions originating in the perinatal period (P00-P96),Conditions originated in perinatal period,Delaware,51,774990,6.6,6.9
1999,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Congenital malformations,Delaware,28,774990,3.6,3.7
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Delaware,267,774990,34.5,35.2
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Delaware,86,774990,11.1,11
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Assault (homicide),Delaware,24,774990,3.1,3
1999,"Complications of medical and surgical care (Y40-Y84,Y88)",Complications of medical and surgical care,Delaware,10,774990,,
1999,Septicemia (A40-A41),Septicemia,District of Columbia,138,570213,24.2,24.8
1999,Viral hepatitis (B15-B19),Viral hepatitis,District of Columbia,17,570213,,
1999,Human immunodeficiency virus (HIV) disease (B20-B24),Human immunodeficiency virus,District of Columbia,266,570213,46.6,46.3
1999,Malignant neoplasms (C00-C97),Cancer,District of Columbia,1340,570213,235,241.4
1999,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",In situ neoplasms,District of Columbia,30,570213,5.3,5.3
1999,Anemias (D50-D64),Anemias,District of Columbia,18,570213,,
1999,Diabetes mellitus (E10-E14),Diabetes,District of Columbia,221,570213,38.8,39.6
1999,Parkinson disease (G20-G21),Parkinson disease,District of Columbia,22,570213,3.9,3.9
1999,Alzheimer disease (G30),Alzheimer's disease,District of Columbia,53,570213,9.3,9.5
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,District of Columbia,1652,570213,289.7,296.2
1999,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",Essential hypertension,District of Columbia,55,570213,9.6,9.9
1999,Cerebrovascular diseases (I60-I69),Stroke,District of Columbia,297,570213,52.1,53.3
1999,Atherosclerosis (I70),Atherosclerosis,District of Columbia,26,570213,4.6,4.6
1999,Aortic aneurysm and dissection (I71),Aortic aneurysm and dissection,District of Columbia,31,570213,5.4,5.5
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,District of Columbia,116,570213,20.3,20.6
1999,Chronic lower respiratory diseases (J40-J47),CLRD,District of Columbia,166,570213,29.1,29.9
1999,Pneumonitis due to solids and liquids (J69),Pneumonitis due to solids and liquids,District of Columbia,39,570213,6.8,7
1999,"Chronic liver disease and cirrhosis (K70,K73-K74)",Chronic liver disease and cirrhosis,District of Columbia,57,570213,10,10.3
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,District of Columbia,91,570213,16,16.4
